,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255339,1255339,"Reberbansgade 62, 2. TV",9000 Aalborg,126000,1992-09-03,Auktion,,2.0,Lejlighed,48.0,1896.0,0.0,,,1992
1255340,1255340,Kærvangs Alle 14A,9000 Aalborg,325000,1992-05-03,Alm. Salg,3250.0,3.0,Lejlighed,100.0,1928.0,0.0,57.031307,9.920348,1992
1255341,1255341,Carl Plougs Vej 8,9000 Aalborg,720000,1992-02-27,Fam. Salg,4044.0,6.0,Villa,178.0,1970.0,0.0,57.036331,9.970602,1992
1255342,1255342,"H. C. Andersens Vej 10, 2. MF",9000 Aalborg,235000,1992-02-24,Alm. Salg,4351.0,2.0,Lejlighed,54.0,1967.0,0.0,,,1992
1255343,1255343,Toften 25,9000 Aalborg,728000,1992-02-22,Alm. Salg,4359.0,6.0,Villa,167.0,1972.0,0.0,57.02856,9.874789,1992
1255344,1255344,Herskindsgade 20,9000 Aalborg,570000,1992-02-20,Fam. Salg,3701.0,5.0,Villa,154.0,1900.0,0.0,57.038463,9.949905,1992
1255345,1255345,Riishøjsvej 107,9000 Aalborg,235000,1992-02-20,Fam. Salg,1620.0,5.0,Villa,145.0,1946.0,0.0,57.036235,9.946434,1992
1255346,1255346,"Borgmestervænget 4, 1. TV",9000 Aalborg,350000,1992-02-19,Alm. Salg,5223.0,2.0,Lejlighed,67.0,1934.0,0.0,,,1992
1255347,1255347,Nybovej 20,9000 Aalborg,635000,1992-02-19,Fam. Salg,5879.0,5.0,Villa,108.0,1972.0,0.0,57.027078,9.920128,1992
1255348,1255348,Sønder Alle 52,9000 Aalborg,560000,1992-02-19,Alm. Salg,,4.0,Villa,126.0,1964.0,0.0,57.029251,9.920981,1992
1255349,1255349,Magnoliavej 68,9000 Aalborg,605000,1992-02-18,Alm. Salg,5500.0,4.0,Villa,110.0,1962.0,0.0,57.032423,9.87861,1992
1255350,1255350,Østervangsvej 5,9000 Aalborg,640000,1992-02-18,Alm. Salg,4923.0,5.0,Villa,130.0,1929.0,0.0,57.040095,9.959655,1992
1255351,1255351,"Østerbro 57, 2. TH",9000 Aalborg,270000,1992-02-17,Alm. Salg,4029.0,2.0,Lejlighed,67.0,1934.0,0.0,,,1992
1255352,1255352,Nørre Tranders Vej 45,9000 Aalborg,585000,1992-02-14,Alm. Salg,3774.0,7.0,Villa,155.0,1925.0,0.0,57.040179,9.955964,1992
1255353,1255353,"Skovbakkevej 16A, 1",9000 Aalborg,1050000,1992-02-14,Alm. Salg,7446.0,4.0,Lejlighed,141.0,1909.0,0.0,,,1992
1255354,1255354,"H. C. Andersens Vej 4, 2. TH",9000 Aalborg,350000,1992-12-02,Alm. Salg,4069.0,3.0,Lejlighed,86.0,1967.0,0.0,,,1992
